"Statistic Label","Year","Age Group","Criteria for Projection","Sex","UNIT","VALUE"
"Actual and Projected Labour Force from 2022","2022","All ages","Method - M1","Both sexes","Thousand","2696.6"
"Actual and Projected Labour Force from 2022","2022","All ages","Method - M1","Male","Thousand","1442.9"
"Actual and Projected Labour Force from 2022","2022","All ages","Method - M1","Female","Thousand","1253.7"
"Actual and Projected Labour Force from 2022","2022","All ages","Method - M2","Both sexes","Thousand","2696.6"
"Actual and Projected Labour Force from 2022","2022","All ages","Method - M2","Male","Thousand","1442.9"
"Actual and Projected Labour Force from 2022","2022","All ages","Method - M2","Female","Thousand","1253.7"
"Actual and Projected Labour Force from 2022","2022","All ages","Method - M3","Both sexes","Thousand","2696.6"
"Actual and Projected Labour Force from 2022","2022","All ages","Method - M3","Male","Thousand","1442.9"
"Actual and Projected Labour Force from 2022","2022","All ages","Method - M3","Female","Thousand","1253.7"
"Actual and Projected Labour Force from 2022","2022","15 - 19 years","Method - M1","Both sexes","Thousand","111"
"Actual and Projected Labour Force from 2022","2022","15 - 19 years","Method - M1","Male","Thousand","55.2"
"Actual and Projected Labour Force from 2022","2022","15 - 19 years","Method - M1","Female","Thousand","55.8"
"Actual and Projected Labour Force from 2022","2022","15 - 19 years","Method - M2","Both sexes","Thousand","111"
"Actual and Projected Labour Force from 2022","2022","15 - 19 years","Method - M2","Male","Thousand","55.2"
"Actual and Projected Labour Force from 2022","2022","15 - 19 years","Method - M2","Female","Thousand","55.8"
"Actual and Projected Labour Force from 2022","2022","15 - 19 years","Method - M3","Both sexes","Thousand","111"
"Actual and Projected Labour Force from 2022","2022","15 - 19 years","Method - M3","Male","Thousand","55.2"
"Actual and Projected Labour Force from 2022","2022","15 - 19 years","Method - M3","Female","Thousand","55.8"
"Actual and Projected Labour Force from 2022","2022","20 - 24 years","Method - M1","Both sexes","Thousand","232.2"
"Actual and Projected Labour Force from 2022","2022","20 - 24 years","Method - M1","Male","Thousand","120.6"
"Actual and Projected Labour Force from 2022","2022","20 - 24 years","Method - M1","Female","Thousand","111.6"
"Actual and Projected Labour Force from 2022","2022","20 - 24 years","Method - M2","Both sexes","Thousand","232.2"
"Actual and Projected Labour Force from 2022","2022","20 - 24 years","Method - M2","Male","Thousand","120.6"
"Actual and Projected Labour Force from 2022","2022","20 - 24 years","Method - M2","Female","Thousand","111.6"
"Actual and Projected Labour Force from 2022","2022","20 - 24 years","Method - M3","Both sexes","Thousand","232.2"
"Actual and Projected Labour Force from 2022","2022","20 - 24 years","Method - M3","Male","Thousand","120.6"
"Actual and Projected Labour Force from 2022","2022","20 - 24 years","Method - M3","Female","Thousand","111.6"
"Actual and Projected Labour Force from 2022","2022","25 - 29 years","Method - M1","Both sexes","Thousand","254.2"
"Actual and Projected Labour Force from 2022","2022","25 - 29 years","Method - M1","Male","Thousand","134.3"
"Actual and Projected Labour Force from 2022","2022","25 - 29 years","Method - M1","Female","Thousand","119.9"
"Actual and Projected Labour Force from 2022","2022","25 - 29 years","Method - M2","Both sexes","Thousand","254.2"
"Actual and Projected Labour Force from 2022","2022","25 - 29 years","Method - M2","Male","Thousand","134.3"
"Actual and Projected Labour Force from 2022","2022","25 - 29 years","Method - M2","Female","Thousand","119.9"
"Actual and Projected Labour Force from 2022","2022","25 - 29 years","Method - M3","Both sexes","Thousand","254.2"
"Actual and Projected Labour Force from 2022","2022","25 - 29 years","Method - M3","Male","Thousand","134.3"
"Actual and Projected Labour Force from 2022","2022","25 - 29 years","Method - M3","Female","Thousand","119.9"
"Actual and Projected Labour Force from 2022","2022","30 - 34 years","Method - M1","Both sexes","Thousand","288.1"
"Actual and Projected Labour Force from 2022","2022","30 - 34 years","Method - M1","Male","Thousand","147.9"
"Actual and Projected Labour Force from 2022","2022","30 - 34 years","Method - M1","Female","Thousand","140.2"
"Actual and Projected Labour Force from 2022","2022","30 - 34 years","Method - M2","Both sexes","Thousand","288.1"
"Actual and Projected Labour Force from 2022","2022","30 - 34 years","Method - M2","Male","Thousand","147.9"
"Actual and Projected Labour Force from 2022","2022","30 - 34 years","Method - M2","Female","Thousand","140.2"
"Actual and Projected Labour Force from 2022","2022","30 - 34 years","Method - M3","Both sexes","Thousand","288.1"
"Actual and Projected Labour Force from 2022","2022","30 - 34 years","Method - M3","Male","Thousand","147.9"
"Actual and Projected Labour Force from 2022","2022","30 - 34 years","Method - M3","Female","Thousand","140.2"
"Actual and Projected Labour Force from 2022","2022","35 - 39 years","Method - M1","Both sexes","Thousand","332"
"Actual and Projected Labour Force from 2022","2022","35 - 39 years","Method - M1","Male","Thousand","173.5"
"Actual and Projected Labour Force from 2022","2022","35 - 39 years","Method - M1","Female","Thousand","158.6"
"Actual and Projected Labour Force from 2022","2022","35 - 39 years","Method - M2","Both sexes","Thousand","332"
"Actual and Projected Labour Force from 2022","2022","35 - 39 years","Method - M2","Male","Thousand","173.5"
"Actual and Projected Labour Force from 2022","2022","35 - 39 years","Method - M2","Female","Thousand","158.6"
"Actual and Projected Labour Force from 2022","2022","35 - 39 years","Method - M3","Both sexes","Thousand","332"
"Actual and Projected Labour Force from 2022","2022","35 - 39 years","Method - M3","Male","Thousand","173.5"
"Actual and Projected Labour Force from 2022","2022","35 - 39 years","Method - M3","Female","Thousand","158.6"
"Actual and Projected Labour Force from 2022","2022","40 - 44 years","Method - M1","Both sexes","Thousand","359.2"
"Actual and Projected Labour Force from 2022","2022","40 - 44 years","Method - M1","Male","Thousand","190.4"
"Actual and Projected Labour Force from 2022","2022","40 - 44 years","Method - M1","Female","Thousand","168.8"
"Actual and Projected Labour Force from 2022","2022","40 - 44 years","Method - M2","Both sexes","Thousand","359.2"
"Actual and Projected Labour Force from 2022","2022","40 - 44 years","Method - M2","Male","Thousand","190.4"
"Actual and Projected Labour Force from 2022","2022","40 - 44 years","Method - M2","Female","Thousand","168.8"
"Actual and Projected Labour Force from 2022","2022","40 - 44 years","Method - M3","Both sexes","Thousand","359.2"
"Actual and Projected Labour Force from 2022","2022","40 - 44 years","Method - M3","Male","Thousand","190.4"
"Actual and Projected Labour Force from 2022","2022","40 - 44 years","Method - M3","Female","Thousand","168.8"
"Actual and Projected Labour Force from 2022","2022","45 - 49 years","Method - M1","Both sexes","Thousand","323.8"
"Actual and Projected Labour Force from 2022","2022","45 - 49 years","Method - M1","Male","Thousand","170.6"
"Actual and Projected Labour Force from 2022","2022","45 - 49 years","Method - M1","Female","Thousand","153.1"
"Actual and Projected Labour Force from 2022","2022","45 - 49 years","Method - M2","Both sexes","Thousand","323.8"
"Actual and Projected Labour Force from 2022","2022","45 - 49 years","Method - M2","Male","Thousand","170.6"
"Actual and Projected Labour Force from 2022","2022","45 - 49 years","Method - M2","Female","Thousand","153.1"
"Actual and Projected Labour Force from 2022","2022","45 - 49 years","Method - M3","Both sexes","Thousand","323.8"
"Actual and Projected Labour Force from 2022","2022","45 - 49 years","Method - M3","Male","Thousand","170.6"
"Actual and Projected Labour Force from 2022","2022","45 - 49 years","Method - M3","Female","Thousand","153.1"
