year,nuts3,nuts3_key,cohort,value
2022,Border,border,15–64,1578.6
2022,Border,border,65+,384.3
2022,Border,border,85+,46.8
2022,Dublin,dublin,15–64,6005.1
2022,Dublin,dublin,65+,1046.4
2022,Dublin,dublin,85+,140.7
2022,Ireland,ireland,15–64,20329.5
2022,Ireland,ireland,65+,4181.1
2022,Ireland,ireland,85+,506.1
2022,Mid-East,mid east,15–64,3039
2022,Mid-East,mid east,65+,554.1
2022,Mid-East,mid east,85+,56.4
2022,Mid-West,mid west,15–64,1954.2
2022,Mid-West,mid west,65+,458.1
2022,Mid-West,mid west,85+,52.8
2022,Midland,midland,15–64,1237.2
2022,Midland,midland,65+,252.9
2022,Midland,midland,85+,28.2
2022,South-East,south east,15–64,1771.8
2022,South-East,south east,65+,404.7
2022,South-East,south east,85+,47.7
2022,South-West,south west,15–64,2887.8
2022,South-West,south west,65+,639.3
2022,South-West,south west,85+,75.6
2022,West,west,15–64,1857.3
2022,West,west,65+,440.7
2022,West,west,85+,56.7
2023,Border,border,15–64,1615.5
2023,Border,border,65+,395.7
2023,Border,border,85+,48.6
2023,Dublin,dublin,15–64,6134.1
2023,Dublin,dublin,65+,1078.2
2023,Dublin,dublin,85+,145.8
2023,Ireland,ireland,15–64,20798.7
2023,Ireland,ireland,65+,4314.6
2023,Ireland,ireland,85+,529.8
2023,Mid-East,mid east,15–64,3104.1
2023,Mid-East,mid east,65+,574.2
2023,Mid-East,mid east,85+,60
2023,Mid-West,mid west,15–64,1998.3
2023,Mid-West,mid west,65+,473.7
2023,Mid-West,mid west,85+,55.5
2023,Midland,midland,15–64,1268.7
2023,Midland,midland,65+,261.9
2023,Midland,midland,85+,29.4
2023,South-East,south east,15–64,1808.7
2023,South-East,south east,65+,415.5
2023,South-East,south east,85+,50.1
2023,South-West,south west,15–64,2957.4
2023,South-West,south west,65+,659.4
2023,South-West,south west,85+,80.4
2023,West,west,15–64,1906.5
2023,West,west,65+,456.3
2023,West,west,85+,58.2
2024,Border,border,15–64,1650.8
2024,Border,border,65+,406.4
2024,Border,border,85+,50.5
2024,Dublin,dublin,15–64,6239.2
2024,Dublin,dublin,65+,1108.8
2024,Dublin,dublin,85+,151.5
2024,Ireland,ireland,15–64,21183.2
2024,Ireland,ireland,65+,4440.8
2024,Ireland,ireland,85+,552.5
2024,Mid-East,mid east,15–64,3154.5
2024,Mid-East,mid east,65+,594.3
2024,Mid-East,mid east,85+,62.7
2024,Mid-West,mid west,15–64,2036.5
2024,Mid-West,mid west,65+,486.6
2024,Mid-West,mid west,85+,58.7
2024,Midland,midland,15–64,1293.7
2024,Midland,midland,65+,268.6
2024,Midland,midland,85+,30.9
2024,South-East,south east,15–64,1841.3
2024,South-East,south east,65+,428
2024,South-East,south east,85+,52.2
2024,South-West,south west,15–64,3016.3
2024,South-West,south west,65+,679.7
2024,South-West,south west,85+,83.2
2024,West,west,15–64,1950.4
2024,West,west,65+,468.5
2024,West,west,85+,60.6
2025,Border,border,15–64,1675.2
2025,Border,border,65+,417.9
2025,Border,border,85+,52.5
2025,Dublin,dublin,15–64,6327.7
2025,Dublin,dublin,65+,1142.7
2025,Dublin,dublin,85+,156.6
2025,Ireland,ireland,15–64,21519.2
2025,Ireland,ireland,65+,4579.3
2025,Ireland,ireland,85+,577.2
2025,Mid-East,mid east,15–64,3202.1
2025,Mid-East,mid east,65+,613.7
2025,Mid-East,mid east,85+,66.8
2025,Mid-West,mid west,15–64,2070.5
2025,Mid-West,mid west,65+,500.1
2025,Mid-West,mid west,85+,60.6
2025,Midland,midland,15–64,1316.7
2025,Midland,midland,65+,279.3
2025,Midland,midland,85+,33.8
2025,South-East,south east,15–64,1868.5
2025,South-East,south east,65+,441.9
2025,South-East,south east,85+,54.4
2025,South-West,south west,15–64,3070
2025,South-West,south west,65+,699.7
2025,South-West,south west,85+,88.5
2025,West,west,15–64,1988.9
2025,West,west,65+,482.6
2025,West,west,85+,62.4
2026,Border,border,15–64,1692.2
2026,Border,border,65+,429.9
2026,Border,border,85+,54.6
2026,Dublin,dublin,15–64,6418.3
2026,Dublin,dublin,65+,1178.6
2026,Dublin,dublin,85+,161.3
2026,Ireland,ireland,15–64,21791.8
2026,Ireland,ireland,65+,4723.7
2026,Ireland,ireland,85+,599.1
2026,Mid-East,mid east,15–64,3259.5
2026,Mid-East,mid east,65+,637.9
2026,Mid-East,mid east,85+,71.4
2026,Mid-West,mid west,15–64,2088.1
2026,Mid-West,mid west,65+,514.8
2026,Mid-West,mid west,85+,64.2
2026,Midland,midland,15–64,1330.5
2026,Midland,midland,65+,289.1
2026,Midland,midland,85+,33.7
2026,South-East,south east,15–64,1892
2026,South-East,south east,65+,456.3
2026,South-East,south east,85+,56.9
2026,South-West,south west,15–64,3103.3
2026,South-West,south west,65+,721.2
2026,South-West,south west,85+,92
2026,West,west,15–64,2010.3
2026,West,west,65+,495.8
2026,West,west,85+,64.2
2027,Border,border,15–64,1709.2
2027,Border,border,65+,441.3
2027,Border,border,85+,56.4
2027,Dublin,dublin,15–64,6495.2
2027,Dublin,dublin,65+,1216.5
2027,Dublin,dublin,85+,167.3
2027,Ireland,ireland,15–64,22026.2
2027,Ireland,ireland,65+,4869.8
2027,Ireland,ireland,85+,626.1
2027,Mid-East,mid east,15–64,3308.3
2027,Mid-East,mid east,65+,662.2
2027,Mid-East,mid east,85+,75.6
2027,Mid-West,mid west,15–64,2102.2
2027,Mid-West,mid west,65+,529.2
2027,Mid-West,mid west,85+,66.3
2027,Midland,midland,15–64,1343.8
2027,Midland,midland,65+,298
2027,Midland,midland,85+,35
2027,South-East,south east,15–64,1912.7
2027,South-East,south east,65+,471.4
2027,South-East,south east,85+,60.1
2027,South-West,south west,15–64,3130
2027,South-West,south west,65+,742.4
2027,South-West,south west,85+,96.3
2027,West,west,15–64,2028.8
2027,West,west,65+,509.5
2027,West,west,85+,68.1
2028,Border,border,15–64,1722.3
2028,Border,border,65+,450.8
2028,Border,border,85+,60
2028,Dublin,dublin,15–64,6563.9
2028,Dublin,dublin,65+,1253.9
2028,Dublin,dublin,85+,175.4
2028,Ireland,ireland,15–64,22247.1
2028,Ireland,ireland,65+,5008.2
2028,Ireland,ireland,85+,661.2
2028,Mid-East,mid east,15–64,3357.5
2028,Mid-East,mid east,65+,685.2
2028,Mid-East,mid east,85+,81.1
2028,Mid-West,mid west,15–64,2114.9
2028,Mid-West,mid west,65+,540.8
2028,Mid-West,mid west,85+,70.6
2028,Midland,midland,15–64,1355.4
2028,Midland,midland,65+,307.2
2028,Midland,midland,85+,38.1
2028,South-East,south east,15–64,1931.7
2028,South-East,south east,65+,485.1
2028,South-East,south east,85+,63.7
2028,South-West,south west,15–64,3156.4
2028,South-West,south west,65+,762.8
2028,South-West,south west,85+,101.1
2028,West,west,15–64,2047.1
2028,West,west,65+,521.2
2028,West,west,85+,72.4
2029,Border,border,15–64,1734.6
2029,Border,border,65+,463.7
2029,Border,border,85+,63.3
2029,Dublin,dublin,15–64,6632.4
2029,Dublin,dublin,65+,1290.4
2029,Dublin,dublin,85+,182.9
2029,Ireland,ireland,15–64,22453.3
2029,Ireland,ireland,65+,5148.7
2029,Ireland,ireland,85+,697
2029,Mid-East,mid east,15–64,3403.2
2029,Mid-East,mid east,65+,708.7
2029,Mid-East,mid east,85+,89.2
2029,Mid-West,mid west,15–64,2123.9
2029,Mid-West,mid west,65+,554.8
2029,Mid-West,mid west,85+,75
2029,Midland,midland,15–64,1365.9
2029,Midland,midland,65+,315.8
2029,Midland,midland,85+,39.3
2029,South-East,south east,15–64,1951
2029,South-East,south east,65+,498.5
2029,South-East,south east,85+,67.2
2029,South-West,south west,15–64,3176.8
2029,South-West,south west,65+,784.5
2029,South-West,south west,85+,106.5
2029,West,west,15–64,2062.9
2029,West,west,65+,534.2
2029,West,west,85+,74.7
2030,Border,border,15–64,1744.9
2030,Border,border,65+,472.9
2030,Border,border,85+,66.7
2030,Dublin,dublin,15–64,6694.1
2030,Dublin,dublin,65+,1326
2030,Dublin,dublin,85+,192
2030,Ireland,ireland,15–64,22630.4
2030,Ireland,ireland,65+,5292.9
2030,Ireland,ireland,85+,738.1
2030,Mid-East,mid east,15–64,3442.2
2030,Mid-East,mid east,65+,734.5
2030,Mid-East,mid east,85+,94.9
2030,Mid-West,mid west,15–64,2131.7
2030,Mid-West,mid west,65+,569
2030,Mid-West,mid west,85+,79.5
2030,Midland,midland,15–64,1375.9
2030,Midland,midland,65+,325.7
2030,Midland,midland,85+,41.8
2030,South-East,south east,15–64,1966.6
2030,South-East,south east,65+,513.1
2030,South-East,south east,85+,71.9
2030,South-West,south west,15–64,3198.1
2030,South-West,south west,65+,805.5
2030,South-West,south west,85+,112.9
2030,West,west,15–64,2076.1
2030,West,west,65+,548.2
2030,West,west,85+,79
2031,Border,border,15–64,1754.5
2031,Border,border,65+,481.8
2031,Border,border,85+,71
2031,Dublin,dublin,15–64,6750.8
2031,Dublin,dublin,65+,1359.4
2031,Dublin,dublin,85+,202.1
2031,Ireland,ireland,15–64,22796.3
2031,Ireland,ireland,65+,5422.8
2031,Ireland,ireland,85+,785.7
2031,Mid-East,mid east,15–64,3477.8
2031,Mid-East,mid east,65+,758
2031,Mid-East,mid east,85+,100.9
2031,Mid-West,mid west,15–64,2141.9
2031,Mid-West,mid west,65+,578.6
2031,Mid-West,mid west,85+,84.6
2031,Midland,midland,15–64,1384.9
2031,Midland,midland,65+,332.3
2031,Midland,midland,85+,45.6
2031,South-East,south east,15–64,1982.2
2031,South-East,south east,65+,525.8
2031,South-East,south east,85+,76.5
2031,South-West,south west,15–64,3216.5
2031,South-West,south west,65+,824
2031,South-West,south west,85+,120.6
2031,West,west,15–64,2090.6
2031,West,west,65+,558.5
2031,West,west,85+,83.8
2032,Border,border,15–64,1762.3
2032,Border,border,65+,492.2
2032,Border,border,85+,75
2032,Dublin,dublin,15–64,6792.3
2032,Dublin,dublin,65+,1392.6
2032,Dublin,dublin,85+,213
2032,Ireland,ireland,15–64,22920.4
2032,Ireland,ireland,65+,5553.6
2032,Ireland,ireland,85+,834.9
2032,Mid-East,mid east,15–64,3508
2032,Mid-East,mid east,65+,782
2032,Mid-East,mid east,85+,109.2
2032,Mid-West,mid west,15–64,2144.8
2032,Mid-West,mid west,65+,591.9
2032,Mid-West,mid west,85+,90.3
2032,Midland,midland,15–64,1390
2032,Midland,midland,65+,342.2
2032,Midland,midland,85+,49.3
2032,South-East,south east,15–64,1991.3
2032,South-East,south east,65+,539.2
2032,South-East,south east,85+,80.9
2032,South-West,south west,15–64,3230
2032,South-West,south west,65+,841.2
2032,South-West,south west,85+,128.2
2032,West,west,15–64,2098.9
2032,West,west,65+,570.9
2032,West,west,85+,88.6
2033,Border,border,15–64,1766
2033,Border,border,65+,502.4
2033,Border,border,85+,79.6
2033,Dublin,dublin,15–64,6826.8
2033,Dublin,dublin,65+,1428.1
2033,Dublin,dublin,85+,224.6
2033,Ireland,ireland,15–64,23023
