"Statistic Label","CensusYear","Age Group","Sex","Administrative Counties","UNIT","VALUE"
"Population with a disability to any extent","2022","All ages","Both sexes","Ireland","Number","1109557"
"Population with a disability to any extent","2022","All ages","Both sexes","Carlow County Council","Number","14333"
"Population with a disability to any extent","2022","All ages","Both sexes","Dublin City Council","Number","130192"
"Population with a disability to any extent","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Number","49999"
"Population with a disability to any extent","2022","All ages","Both sexes","Fingal County Council","Number","61412"
"Population with a disability to any extent","2022","All ages","Both sexes","South Dublin County Council","Number","63479"
"Population with a disability to any extent","2022","All ages","Both sexes","Kildare County Council","Number","50502"
"Population with a disability to any extent","2022","All ages","Both sexes","Kilkenny County Council","Number","22402"
"Population with a disability to any extent","2022","All ages","Both sexes","Laois County Council","Number","20106"
"Population with a disability to any extent","2022","All ages","Both sexes","Longford County Council","Number","9857"
"Population with a disability to any extent","2022","All ages","Both sexes","Louth County Council","Number","30739"
"Population with a disability to any extent","2022","All ages","Both sexes","Meath County Council","Number","43200"
"Population with a disability to any extent","2022","All ages","Both sexes","Offaly County Council","Number","18813"
"Population with a disability to any extent","2022","All ages","Both sexes","Westmeath County Council","Number","20681"
"Population with a disability to any extent","2022","All ages","Both sexes","Wexford County Council","Number","39507"
"Population with a disability to any extent","2022","All ages","Both sexes","Wicklow County Council","Number","35484"
"Population with a disability to any extent","2022","All ages","Both sexes","Clare County Council","Number","27213"
"Population with a disability to any extent","2022","All ages","Both sexes","Cork City Council","Number","52964"
"Population with a disability to any extent","2022","All ages","Both sexes","Cork County Council","Number","75625"
"Population with a disability to any extent","2022","All ages","Both sexes","Kerry County Council","Number","33810"
"Population with a disability to any extent","2022","All ages","Both sexes","Limerick City & County Council","Number","47348"
"Population with a disability to any extent","2022","All ages","Both sexes","Tipperary County Council","Number","38639"
"Population with a disability to any extent","2022","All ages","Both sexes","Waterford City & County Council","Number","29204"
"Population with a disability to any extent","2022","All ages","Both sexes","Galway City Council","Number","18715"
"Population with a disability to any extent","2022","All ages","Both sexes","Galway County Council","Number","38740"
"Population with a disability to any extent","2022","All ages","Both sexes","Leitrim County Council","Number","7905"
"Population with a disability to any extent","2022","All ages","Both sexes","Mayo  County Council","Number","30074"
"Population with a disability to any extent","2022","All ages","Both sexes","Roscommon County Council","Number","15721"
"Population with a disability to any extent","2022","All ages","Both sexes","Sligo County Council","Number","16128"
"Population with a disability to any extent","2022","All ages","Both sexes","Cavan County Council","Number","16275"
"Population with a disability to any extent","2022","All ages","Both sexes","Donegal County Council","Number","38208"
"Population with a disability to any extent","2022","All ages","Both sexes","Monaghan County Council","Number","12282"
"Population with a disability to any extent","2022","All ages","Male","Ireland","Number","531207"
"Population with a disability to any extent","2022","All ages","Male","Carlow County Council","Number","6896"
"Population with a disability to any extent","2022","All ages","Male","Dublin City Council","Number","60094"
"Population with a disability to any extent","2022","All ages","Male","Dún Laoghaire Rathdown County Council","Number","22776"
"Population with a disability to any extent","2022","All ages","Male","Fingal County Council","Number","28690"
"Population with a disability to any extent","2022","All ages","Male","South Dublin County Council","Number","29828"
"Population with a disability to any extent","2022","All ages","Male","Kildare County Council","Number","24445"
"Population with a disability to any extent","2022","All ages","Male","Kilkenny County Council","Number","10930"
"Population with a disability to any extent","2022","All ages","Male","Laois County Council","Number","9861"
"Population with a disability to any extent","2022","All ages","Male","Longford County Council","Number","4811"
"Population with a disability to any extent","2022","All ages","Male","Louth County Council","Number","14870"
"Population with a disability to any extent","2022","All ages","Male","Meath County Council","Number","21018"
"Population with a disability to any extent","2022","All ages","Male","Offaly County Council","Number","9219"
"Population with a disability to any extent","2022","All ages","Male","Westmeath County Council","Number","10065"
"Population with a disability to any extent","2022","All ages","Male","Wexford County Council","Number","19146"
"Population with a disability to any extent","2022","All ages","Male","Wicklow County Council","Number","17081"
"Population with a disability to any extent","2022","All ages","Male","Clare County Council","Number","13127"
"Population with a disability to any extent","2022","All ages","Male","Cork City Council","Number","24928"
"Population with a disability to any extent","2022","All ages","Male","Cork County Council","Number","36800"
"Population with a disability to any extent","2022","All ages","Male","Kerry County Council","Number","16379"
"Population with a disability to any extent","2022","All ages","Male","Limerick City & County Council","Number","22973"
"Population with a disability to any extent","2022","All ages","Male","Tipperary County Council","Number","19019"
"Population with a disability to any extent","2022","All ages","Male","Waterford City & County Council","Number","14147"
"Population with a disability to any extent","2022","All ages","Male","Galway City Council","Number","8565"
"Population with a disability to any extent","2022","All ages","Male","Galway County Council","Number","19010"
"Population with a disability to any extent","2022","All ages","Male","Leitrim County Council","Number","3836"
"Population with a disability to any extent","2022","All ages","Male","Mayo  County Council","Number","14500"
"Population with a disability to any extent","2022","All ages","Male","Roscommon County Council","Number","7767"
"Population with a disability to any extent","2022","All ages","Male","Sligo County Council","Number","7684"
"Population with a disability to any extent","2022","All ages","Male","Cavan County Council","Number","8007"
"Population with a disability to any extent","2022","All ages","Male","Donegal County Council","Number","18634"
"Population with a disability to any extent","2022","All ages","Male","Monaghan County Council","Number","6101"
"Population with a disability to any extent","2022","All ages","Female","Ireland","Number","578350"
"Population with a disability to any extent","2022","All ages","Female","Carlow County Council","Number","7437"
"Population with a disability to any extent","2022","All ages","Female","Dublin City Council","Number","70098"
"Population with a disability to any extent","2022","All ages","Female","Dún Laoghaire Rathdown County Council","Number","27223"
"Population with a disability to any extent","2022","All ages","Female","Fingal County Council","Number","32722"
"Population with a disability to any extent","2022","All ages","Female","South Dublin County Council","Number","33651"
"Population with a disability to any extent","2022","All ages","Female","Kildare County Council","Number","26057"
"Population with a disability to any extent","2022","All ages","Female","Kilkenny County Council","Number","11472"
"Population with a disability to any extent","2022","All ages","Female","Laois County Council","Number","10245"
"Population with a disability to any extent","2022","All ages","Female","Longford County Council","Number","5046"
"Population with a disability to any extent","2022","All ages","Female","Louth County Council","Number","15869"
"Population with a disability to any extent","2022","All ages","Female","Meath County Council","Number","22182"
"Population with a disability to any extent","2022","All ages","Female","Offaly County Council","Number","9594"
"Population with a disability to any extent","2022","All ages","Female","Westmeath County Council","Number","10616"
"Population with a disability to any extent","2022","All ages","Female","Wexford County Council","Number","20361"
"Population with a disability to any extent","2022","All ages","Female","Wicklow County Council","Number","18403"
"Population with a disability to any extent","2022","All ages","Female","Clare County Council","Number","14086"
"Population with a disability to any extent","2022","All ages","Female","Cork City Council","Number","28036"
"Population with a disability to any extent","2022","All ages","Female","Cork County Council","Number","38825"
"Population with a disability to any extent","2022","All ages","Female","Kerry County Council","Number","17431"
"Population with a disability to any extent","2022","All ages","Female","Limerick City & County Council","Number","24375"
"Population with a disability to any extent","2022","All ages","Female","Tipperary County Council","Number","19620"
"Population with a disability to any extent","2022","All ages","Female","Waterford City & County Council","Number","15057"
"Population with a disability to any extent","2022","All ages","Female","Galway City Council","Number","10150"
"Population with a disability to any extent","2022","All ages","Female","Galway County Council","Number","19730"
"Population with a disability to any extent","2022","All ages","Female","Leitrim County Council","Number","4069"
"Population with a disability to any extent","2022","All ages","Female","Mayo  County Council","Number","15574"
"Population with a disability to any extent","2022","All ages","Female","Roscommon County Council","Number","7954"
"Population with a disability to any extent","2022","All ages","Female","Sligo County Council","Number","8444"
"Population with a disability to any extent","2022","All ages","Female","Cavan County Council","Number","8268"
"Population with a disability to any extent","2022","All ages","Female","Donegal County Council","Number","19574"
"Population with a disability to any extent","2022","All ages","Female","Monaghan County Council","Number","6181"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Ireland","Number","12671"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Carlow County Council","Number","184"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Dublin City Council","Number","1324"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Dún Laoghaire Rathdown County Council","Number","376"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Fingal County Council","Number","823"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","South Dublin County Council","Number","906"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Kildare County Council","Number","585"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Kilkenny County Council","Number","241"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Laois County Council","Number","312"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Longford County Council","Number","124"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Louth County Council","Number","405"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Meath County Council","Number","582"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Offaly County Council","Number","248"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Westmeath County Council","Number","247"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Wexford County Council","Number","438"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Wicklow County Council","Number","417"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Clare County Council","Number","297"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Cork City Council","Number","586"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Cork County Council","Number","935"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Kerry County Council","Number","320"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Limerick City & County Council","Number","538"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Tipperary County Council","Number","454"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Waterford City & County Council","Number","279"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Galway City Council","Number","149"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Galway County Council","Number","436"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Leitrim County Council","Number","85"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Mayo  County Council","Number","270"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Roscommon County Council","Number","200"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Sligo County Council","Number","162"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Cavan County Council","Number","214"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Donegal County Council","Number","383"
"Population with a disability to any extent","2022","0 - 4 years","Both sexes","Monaghan County Council","Number","151"
"Population with a disability to any extent","2022","0 - 4 years","Male","Ireland","Number","7679"
"Population with a disability to any extent","2022","0 - 4 years","Male","Carlow County Council","Number","108"
"Population with a disability to any extent","2022","0 - 4 years","Male","Dublin City Council","Number","793"
"Population with a disability to any extent","2022","0 - 4 years","Male","Dún Laoghaire Rathdown County Council","Number","236"
"Population with a disability to any extent","2022","0 - 4 years","Male","Fingal County Council","Number","483"
"Population with a disability to any extent","2022","0 - 4 years","Male","South Dublin County Council","Number","546"
"Population with a disability to any extent","2022","0 - 4 years","Male","Kildare County Council","Number","365"
"Population with a disability to any extent","2022","0 - 4 years","Male","Kilkenny County Council","Number","142"
"Population with a disability to any extent","2022","0 - 4 years","Male","Laois County Council","Number","190"
"Population with a disability to any extent","2022","0 - 4 years","Male","Longford County Council","Number","77"
"Population with a disability to any extent","2022","0 - 4 years","Male","Louth County Council","Number","254"
"Population with a disability to any extent","2022","0 - 4 years","Male","Meath County Council","Number","368"
"Population with a disability to any extent","2022","0 - 4 years","Male","Offaly County Council","Number","159"
"Population with a disability to any extent","2022","0 - 4 years","Male","Westmeath County Council","Number","144"
"Population with a disability to any extent","2022","0 - 4 years","Male","Wexford County Council","Number","260"
"Population with a disability to any extent","2022","0 - 4 years","Male","Wicklow County Council","Number","254"
"Population with a disability to any extent","2022","0 - 4 years","Male","Clare County Council","Number","175"
"Population with a disability to any extent","2022","0 - 4 years","Male","Cork City Council","Number","380"
"Population with a disability to any extent","2022","0 - 4 years","Male","Cork County Council","Number","579"
"Population with a disability to any extent","2022","0 - 4 years","Male","Kerry County Council","Number","179"
