Latitude,Longitude,Id,Name,Main Address,Address Level - 1,Address Level - 1,Address Level - 1,Address Level - 1,Date Of Last Update
53.284849,-6.379624,1560,Tallaght Medical Practice,"1 Alderwood Park, Dublin 24, D24 XR58",1 Alderwood Park,Dublin,,,15-Apr-22
53.420754,-7.926206,5113,Dr Deirdre Forde,"1 Ankers Bower, Brideswell, Athlone, Co. Westmeath, N37 WC62",Westmeath,Westmeath,Westmeath,Westmeath,27-Apr-22
53.29039,-6.282249,1590,Aranleigh Health Centre,"1 Aranleigh Mount, Dublin 14, D14 K822",1 Aranleigh Mount,Westmeath,Cork,Cork,15-Apr-22
53.26492,-9.116679,1639,Knocknacarra Primary Care,"1 Ashleigh Grove, Ballymoneen Road, Knocknacarra, Galway, H91 X680",1 Ashleigh Grove,Kildare,Kildare,Kildare,15-Apr-22
53.234723,-6.120944,2597,Shankill Family Practice,"1 Athgoe Drive, Dublin 18, D18 C596",1 Athgoe Drive,Offaly,Dublin,Dublin,11-Apr-22
53.522342,-7.333937,2624,Dr Anne McGarry,"1 Auburn Village, Mullingar, Co. Westmeath, N91 PR28",Westmeath,Cork,Mayo,Mayo,26-Apr-22
53.726773,-7.795163,1616,College Medical Centre,"1 Ballinalee Road, Longford, N39 N2D1",1 Ballinalee Road,Cork,Dublin,Dublin,15-Apr-22
53.374525,-6.600546,3246,Dr Denise Nolan,"1 Beaufield Avenue, Maynooth, Co. Kildare, W23 NY62",Kildare,Kildare,Tipperary,Tipperary,26-Apr-22
53.346159,-7.037877,2617,Dr Philip Brady,"1 Boyne Meadows, Edenderry, Co. Offaly, R45 KT96",Offaly,Dublin,Westmeath,Westmeath,28-Apr-22
51.867345,-8.440305,3068,Dr O'Regan Surgery,"1 Bromley Park, Donnybrook, Douglas, Cork, T12 N524",1 Bromley Park,Louth,Louth,Louth,25-Apr-22
53.3447,-6.397102,1976,Wheatfield Surgery,"1 Chaplain's Place, Rowlagh, Dublin 22, D22 A4P2",1 Chaplain's Place,Dublin,Dublin,Dublin,26-Apr-22
53.729429,-7.78883,1235,The Atrium Medical Practice ,"1 College Park, Longford, N39 Y6C9",1 College Park,Dublin,Dublin,Dublin,08-Apr-22
51.816828,-8.390955,3377,Cork Road Medical Clinic,"1 Cork Road, Carrigaline, Co. Cork, P43 YW98",Cork,Mayo,Cork,Cork,26-Apr-22
53.269189,-9.061818,1680,Galway City Medical Centre,"1 Ely Place, Sea Road, Galway, H91 EWH5",1 Ely Place,Kerry,Cork,Cork,15-Apr-22
51.95523,-7.852102,3101,Emmet Place Family Practice,"1 Emmet Place, Youghal, Co. Cork, P36 VF96",Cork,Dublin,Kildare,Kildare,25-Apr-22
53.325288,-6.321634,2098,Crumlin Medical Practice,"1 Errigal Road, Dublin 12, D12 NV0A",1 Errigal Road,Cork,Tipperary,Tipperary,27-Apr-22
51.879206,-8.520107,1915,Clady Medical Centre,"1 Firview, Curraheen Road, Bishopstown, Cork, T12 Y86V",1 Firview,Dublin,Dublin,Dublin,22-Apr-22
53.21922,-6.660859,1698,Dr Fay's Surgery,"1 Friary Road, Naas, Co. Kildare, W91 X6EK",Kildare,Tipperary,Dublin,Dublin,15-Apr-22
53.289278,-6.129979,1354,Dun Laoghaire Surgery,"1 Glenageary Road Lower, Glenageary, Co. Dublin, A96 V078",Dublin,Westmeath,Kerry,Kerry,11-Apr-22
52.632136,-8.657513,1218,Dr David Hannon,"1 Graney Close, Dooradoyle, Limerick, V94 V2TT",1 Graney Close,Louth,Louth,Louth,08-Apr-22
52.632136,-8.657513,1219,Dr Andrew Kelly,"1 Graney Close, Dooradoyle, Limerick, V94 V2TT",1 Graney Close,Dublin,Dublin,Dublin,08-Apr-22
53.285503,-6.272677,2594,Dr B Ashcroft,"1 Grange Manor Drive, Dublin 16, D16 X254",1 Grange Manor Drive,Dublin,Louth,Louth,21-Apr-22
54.269571,-8.473313,2885,Dr Margaret Connolly,"1 High Street, Sligo, F91 WK0T",1 High Street,Mayo,Wexford,Wexford,21-Apr-22
53.712908,-6.345678,4029,"Cremin, Orr and Keaveny Practice","1 Mary Street, Drogheda, Co. Louth, A92 KP62",Louth,Louth,Meath,Meath,30-Mar-22
51.918075,-8.449092,2172,Meadow Park Surgery,"1 Meadow Park Drive, Ballyvolane, Cork, T23 DHC2",1 Meadow Park Drive,Dublin,Clare,Clare,27-Apr-22
53.286305,-6.119502,1879,Sandycove Surgery,"1 Mount Pleasant, Sandycove Road, Sandycove, Co. Dublin, A96 P596",Dublin,Dublin,Kildare,Kildare,22-Apr-22
53.279945,-6.359814,1350,The Coady Surgery,"1 Old Bawn Way, Dublin 24, D24 XF7A",1 Old Bawn Way,Clare,Dublin,Dublin,11-Apr-22
51.889612,-8.469233,2241,Turners Cross Medical Centre,"1 Ossory Place, Evergreen Road, Cork, T12 YH6P",1 Ossory Place,Dublin,Louth,Louth,27-Apr-22
51.91984,-8.490547,2190,Parklands Surgery,"1 Park Grove, Parklands, Cork, T23 W863",1 Park Grove,Cork,Wexford,Wexford,27-Apr-22
53.451138,-6.155717,1288,Railway Avenue Medical Practice,"1 Railway Avenue, Malahide, Co. Dublin, K36 F899",Dublin,Dublin,Clare,Clare,08-Apr-22
52.243432,-7.095092,3013,Grange Manor Surgery,"1 Rocwood Walk, Grange Manor, Waterford, X91 H2W4",1 Rocwood Walk,Kerry,Louth,Louth,25-Apr-22
53.270659,-9.057972,1726,Polmed Medical Care Ltd.,"1 Ruxton Court, 35-37 Dominick Street Lower, Galway, H91 Y165",1 Ruxton Court,Wicklow,Mayo,Mayo,23-Mar-20
53.850653,-9.307825,2136,Dr Ulrich Bartels,"1 Saint Patricks Avenue, Castlebar, Co. Mayo, F23 R123",Mayo,Cork,Cork,Cork,27-Apr-22
52.573614,-9.377019,1323,Tarbert Medical Centre,"1 Saint Patricks Terrace, Tarbert, Co. Kerry, V31 EW21",Kerry,Cork,Wicklow,Wicklow,08-Apr-22
