"STATISTIC","Statistic Label","TLIST(A1)","CensusYear","C04104V04868","County and City","UNIT","VALUE"
"F2021C01","Total housing stock","1991","1991","IE0","State","Number","1160249"
"F2021C01","Total housing stock","1991","1991","2ae19629-1492-13a3-e055-000000000001","Carlow","Number","12342"
"F2021C01","Total housing stock","1991","1991","2ae19629-1433-13a3-e055-000000000001","Dublin City","Number","175933"
"F2021C01","Total housing stock","1991","1991","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire-Rathdown","Number","60448"
"F2021C01","Total housing stock","1991","1991","2ae19629-14a0-13a3-e055-000000000001","Fingal","Number","43348"
"F2021C01","Total housing stock","1991","1991","2ae19629-14a1-13a3-e055-000000000001","South Dublin","Number","57182"
"F2021C01","Total housing stock","1991","1991","2ae19629-14a7-13a3-e055-000000000001","Kildare","Number","35580"
"F2021C01","Total housing stock","1991","1991","2ae19629-14a8-13a3-e055-000000000001","Kilkenny","Number","22763"
"F2021C01","Total housing stock","1991","1991","2ae19629-148d-13a3-e055-000000000001","Laois","Number","16080"
"F2021C01","Total housing stock","1991","1991","2ae19629-1490-13a3-e055-000000000001","Longford","Number","10606"
"F2021C01","Total housing stock","1991","1991","2ae19629-1491-13a3-e055-000000000001","Louth","Number","28391"
"F2021C01","Total housing stock","1991","1991","2ae19629-1494-13a3-e055-000000000001","Meath","Number","31582"
"F2021C01","Total housing stock","1991","1991","2ae19629-1496-13a3-e055-000000000001","Offaly","Number","17927"
"F2021C01","Total housing stock","1991","1991","2ae19629-149b-13a3-e055-000000000001","Westmeath","Number","19978"
"F2021C01","Total housing stock","1991","1991","2ae19629-149c-13a3-e055-000000000001","Wexford","Number","33095"
"F2021C01","Total housing stock","1991","1991","2ae19629-149e-13a3-e055-000000000001","Wicklow","Number","31709"
"F2021C01","Total housing stock","1991","1991","2ae19629-14a2-13a3-e055-000000000001","Clare","Number","31606"
"F2021C01","Total housing stock","1991","1991","2ae19629-1451-13a3-e055-000000000001","Cork City and Cork County","Number","136404"
"F2021C01","Total housing stock","1991","1991","2ae19629-14a6-13a3-e055-000000000001","Kerry","Number","44571"
"F2021C01","Total housing stock","1991","1991","2ae19629-148f-13a3-e055-000000000001","Limerick City and County","Number","52011"
"F2021C01","Total housing stock","1991","1991","2ae19629-1499-13a3-e055-000000000001","Tipperary","Number","43182"
"F2021C01","Total housing stock","1991","1991","2ae19629-149a-13a3-e055-000000000001","Waterford City and County","Number","30168"
"F2021C01","Total housing stock","1991","1991","2ae19629-1435-13a3-e055-000000000001","Galway City","Number","16210"
"F2021C01","Total housing stock","1991","1991","2ae19629-14a5-13a3-e055-000000000001","Galway County","Number","42589"
"F2021C01","Total housing stock","1991","1991","2ae19629-148e-13a3-e055-000000000001","Leitrim","Number","10228"
"F2021C01","Total housing stock","1991","1991","2ae19629-1493-13a3-e055-000000000001","Mayo","Number","39394"
"F2021C01","Total housing stock","1991","1991","2ae19629-1497-13a3-e055-000000000001","Roscommon","Number","18555"
"F2021C01","Total housing stock","1991","1991","2ae19629-1498-13a3-e055-000000000001","Sligo","Number","19377"
"F2021C01","Total housing stock","1991","1991","2ae19629-149d-13a3-e055-000000000001","Cavan","Number","18111"
"F2021C01","Total housing stock","1991","1991","2ae19629-14a4-13a3-e055-000000000001","Donegal","Number","44486"
"F2021C01","Total housing stock","1991","1991","2ae19629-1495-13a3-e055-000000000001","Monaghan","Number","16393"
"F2021C01","Total housing stock","1996","1996","IE0","State","Number","1258948"
"F2021C01","Total housing stock","1996","1996","2ae19629-1492-13a3-e055-000000000001","Carlow","Number","13422"
"F2021C01","Total housing stock","1996","1996","2ae19629-1433-13a3-e055-000000000001","Dublin City","Number","189741"
"F2021C01","Total housing stock","1996","1996","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire-Rathdown","Number","65504"
"F2021C01","Total housing stock","1996","1996","2ae19629-14a0-13a3-e055-000000000001","Fingal","Number","50626"
"F2021C01","Total housing stock","1996","1996","2ae19629-14a1-13a3-e055-000000000001","South Dublin","Number","64223"
"F2021C01","Total housing stock","1996","1996","2ae19629-14a7-13a3-e055-000000000001","Kildare","Number","41477"
"F2021C01","Total housing stock","1996","1996","2ae19629-14a8-13a3-e055-000000000001","Kilkenny","Number","24365"
"F2021C01","Total housing stock","1996","1996","2ae19629-148d-13a3-e055-000000000001","Laois","Number","17323"
"F2021C01","Total housing stock","1996","1996","2ae19629-1490-13a3-e055-000000000001","Longford","Number","10770"
"F2021C01","Total housing stock","1996","1996","2ae19629-1491-13a3-e055-000000000001","Louth","Number","34635"
"F2021C01","Total housing stock","1996","1996","2ae19629-1494-13a3-e055-000000000001","Meath","Number","30729"
"F2021C01","Total housing stock","1996","1996","2ae19629-1496-13a3-e055-000000000001","Offaly","Number","19182"
"F2021C01","Total housing stock","1996","1996","2ae19629-149b-13a3-e055-000000000001","Westmeath","Number","21530"
"F2021C01","Total housing stock","1996","1996","2ae19629-149c-13a3-e055-000000000001","Wexford","Number","35650"
"F2021C01","Total housing stock","1996","1996","2ae19629-149e-13a3-e055-000000000001","Wicklow","Number","34871"
"F2021C01","Total housing stock","1996","1996","2ae19629-14a2-13a3-e055-000000000001","Clare","Number","34389"
"F2021C01","Total housing stock","1996","1996","2ae19629-1451-13a3-e055-000000000001","Cork City and Cork County","Number","147495"
"F2021C01","Total housing stock","1996","1996","2ae19629-14a6-13a3-e055-000000000001","Kerry","Number","48435"
"F2021C01","Total housing stock","1996","1996","2ae19629-148f-13a3-e055-000000000001","Limerick City and County","Number","56111"
"F2021C01","Total housing stock","1996","1996","2ae19629-1499-13a3-e055-000000000001","Tipperary","Number","45665"
"F2021C01","Total housing stock","1996","1996","2ae19629-149a-13a3-e055-000000000001","Waterford City and County","Number","33300"
"F2021C01","Total housing stock","1996","1996","2ae19629-1435-13a3-e055-000000000001","Galway City","Number","19028"
"F2021C01","Total housing stock","1996","1996","2ae19629-14a5-13a3-e055-000000000001","Galway County","Number","45351"
"F2021C01","Total housing stock","1996","1996","2ae19629-148e-13a3-e055-000000000001","Leitrim","Number","10513"
"F2021C01","Total housing stock","1996","1996","2ae19629-1493-13a3-e055-000000000001","Mayo","Number","41840"
"F2021C01","Total housing stock","1996","1996","2ae19629-1497-13a3-e055-000000000001","Roscommon","Number","19173"
"F2021C01","Total housing stock","1996","1996","2ae19629-1498-13a3-e055-000000000001","Sligo","Number","20609"
"F2021C01","Total housing stock","1996","1996","2ae19629-149d-13a3-e055-000000000001","Cavan","Number","18591"
"F2021C01","Total housing stock","1996","1996","2ae19629-14a4-13a3-e055-000000000001","Donegal","Number","47391"
"F2021C01","Total housing stock","1996","1996","2ae19629-1495-13a3-e055-000000000001","Monaghan","Number","17009"
"F2021C01","Total housing stock","2002","2002","IE0","State","Number","1460053"
"F2021C01","Total housing stock","2002","2002","2ae19629-1492-13a3-e055-000000000001","Carlow","Number","16421"
"F2021C01","Total housing stock","2002","2002","2ae19629-1433-13a3-e055-000000000001","Dublin City","Number","199463"
"F2021C01","Total housing stock","2002","2002","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire-Rathdown","Number","69444"
"F2021C01","Total housing stock","2002","2002","2ae19629-14a0-13a3-e055-000000000001","Fingal","Number","65432"
"F2021C01","Total housing stock","2002","2002","2ae19629-14a1-13a3-e055-000000000001","South Dublin","Number","76666"
"F2021C01","Total housing stock","2002","2002","2ae19629-14a7-13a3-e055-000000000001","Kildare","Number","54589"
"F2021C01","Total housing stock","2002","2002","2ae19629-14a8-13a3-e055-000000000001","Kilkenny","Number","27811"
"F2021C01","Total housing stock","2002","2002","2ae19629-148d-13a3-e055-000000000001","Laois","Number","20561"
"F2021C01","Total housing stock","2002","2002","2ae19629-1490-13a3-e055-000000000001","Longford","Number","12060"
"F2021C01","Total housing stock","2002","2002","2ae19629-1491-13a3-e055-000000000001","Louth","Number","37441"
"F2021C01","Total housing stock","2002","2002","2ae19629-1494-13a3-e055-000000000001","Meath","Number","44972"
"F2021C01","Total housing stock","2002","2002","2ae19629-1496-13a3-e055-000000000001","Offaly","Number","22071"
"F2021C01","Total housing stock","2002","2002","2ae19629-149b-13a3-e055-000000000001","Westmeath","Number","26484"
"F2021C01","Total housing stock","2002","2002","2ae19629-149c-13a3-e055-000000000001","Wexford","Number","45334"
"F2021C01","Total housing stock","2002","2002","2ae19629-149e-13a3-e055-000000000001","Wicklow","Number","40214"
"F2021C01","Total housing stock","2002","2002","2ae19629-14a2-13a3-e055-000000000001","Clare","Number","41513"
"F2021C01","Total housing stock","2002","2002","2ae19629-1451-13a3-e055-000000000001","Cork City and Cork County","Number","168784"
"F2021C01","Total housing stock","2002","2002","2ae19629-14a6-13a3-e055-000000000001","Kerry","Number","54331"
"F2021C01","Total housing stock","2002","2002","2ae19629-148f-13a3-e055-000000000001","Limerick City and County","Number","63950"
"F2021C01","Total housing stock","2002","2002","2ae19629-1499-13a3-e055-000000000001","Tipperary","Number","51927"
"F2021C01","Total housing stock","2002","2002","2ae19629-149a-13a3-e055-000000000001","Waterford City and County","Number","39259"
"F2021C01","Total housing stock","2002","2002","2ae19629-1435-13a3-e055-000000000001","Galway City","Number","23792"
"F2021C01","Total housing stock","2002","2002","2ae19629-14a5-13a3-e055-000000000001","Galway County","Number","54103"
"F2021C01","Total housing stock","2002","2002","2ae19629-148e-13a3-e055-000000000001","Leitrim","Number","11858"
"F2021C01","Total housing stock","2002","2002","2ae19629-1493-13a3-e055-000000000001","Mayo","Number","49194"
"F2021C01","Total housing stock","2002","2002","2ae19629-1497-13a3-e055-000000000001","Roscommon","Number","21944"
"F2021C01","Total housing stock","2002","2002","2ae19629-1498-13a3-e055-000000000001","Sligo","Number","23464"
"F2021C01","Total housing stock","2002","2002","2ae19629-149d-13a3-e055-000000000001","Cavan","Number","21165"
"F2021C01","Total housing stock","2002","2002","2ae19629-14a4-13a3-e055-000000000001","Donegal","Number","57395"
"F2021C01","Total housing stock","2002","2002","2ae19629-1495-13a3-e055-000000000001","Monaghan","Number","18411"
"F2021C01","Total housing stock","2006","2006","IE0","State","Number","1769613"
"F2021C01","Total housing stock","2006","2006","2ae19629-1492-13a3-e055-000000000001","Carlow","Number","20135"
"F2021C01","Total housing stock","2006","2006","2ae19629-1433-13a3-e055-000000000001","Dublin City","Number","223098"
"F2021C01","Total housing stock","2006","2006","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire-Rathdown","Number","77508"
"F2021C01","Total housing stock","2006","2006","2ae19629-14a0-13a3-e055-000000000001","Fingal","Number","89909"
