STATISTIC Label,Year,Quarter,County,UNIT,VALUE
New Dwelling Completion,2011,Q1,Ireland,Number,1875
New Dwelling Completion,2011,Q1,Cork City,Number,39
New Dwelling Completion,2011,Q1,Clare,Number,52
New Dwelling Completion,2011,Q1,Cavan,Number,61
New Dwelling Completion,2011,Q1,Cork,Number,168
New Dwelling Completion,2011,Q1,Carlow,Number,17
New Dwelling Completion,2011,Q1,Dublin City,Number,72
New Dwelling Completion,2011,Q1,Dún Laoghaire Rathdown,Number,30
New Dwelling Completion,2011,Q1,Donegal,Number,118
New Dwelling Completion,2011,Q1,Fingal,Number,144
New Dwelling Completion,2011,Q1,Galway,Number,93
New Dwelling Completion,2011,Q1,Galway City,Number,15
New Dwelling Completion,2011,Q1,Kildare,Number,126
New Dwelling Completion,2011,Q1,Kilkenny,Number,40
New Dwelling Completion,2011,Q1,Kerry,Number,62
New Dwelling Completion,2011,Q1,Longford,Number,11
New Dwelling Completion,2011,Q1,Louth,Number,48
New Dwelling Completion,2011,Q1,Limerick City &,Number,54
New Dwelling Completion,2011,Q1,Leitrim,Number,42
New Dwelling Completion,2011,Q1,Laois,Number,34
New Dwelling Completion,2011,Q1,Meath,Number,70
New Dwelling Completion,2011,Q1,Monaghan,Number,26
New Dwelling Completion,2011,Q1,Mayo,Number,67
New Dwelling Completion,2011,Q1,Offaly,Number,28
New Dwelling Completion,2011,Q1,Roscommon,Number,26
New Dwelling Completion,2011,Q1,South Dublin,Number,41
New Dwelling Completion,2011,Q1,Sligo,Number,52
New Dwelling Completion,2011,Q1,Tipperary,Number,63
New Dwelling Completion,2011,Q1,Waterford City &,Number,96
New Dwelling Completion,2011,Q1,Westmeath,Number,33
New Dwelling Completion,2011,Q1,Wicklow,Number,74
New Dwelling Completion,2011,Q1,Wexford,Number,73
New Dwelling Completion,2011,Q2,Ireland,Number,1791
New Dwelling Completion,2011,Q2,Cork City,Number,36
New Dwelling Completion,2011,Q2,Clare,Number,49
New Dwelling Completion,2011,Q2,Cavan,Number,28
New Dwelling Completion,2011,Q2,Cork,Number,200
New Dwelling Completion,2011,Q2,Carlow,Number,24
New Dwelling Completion,2011,Q2,Dublin City,Number,109
New Dwelling Completion,2011,Q2,Dún Laoghaire Rathdown,Number,68
New Dwelling Completion,2011,Q2,Donegal,Number,139
New Dwelling Completion,2011,Q2,Fingal,Number,134
New Dwelling Completion,2011,Q2,Galway,Number,108
New Dwelling Completion,2011,Q2,Galway City,Number,17
New Dwelling Completion,2011,Q2,Kildare,Number,42
New Dwelling Completion,2011,Q2,Kilkenny,Number,50
New Dwelling Completion,2011,Q2,Kerry,Number,67
New Dwelling Completion,2011,Q2,Longford,Number,14
New Dwelling Completion,2011,Q2,Louth,Number,53
New Dwelling Completion,2011,Q2,Limerick City &,Number,49
New Dwelling Completion,2011,Q2,Leitrim,Number,13
