year,nuts3,nuts3_key,oadr_pct
2022,Border,border,27.3
2022,Dublin,dublin,19.7
2022,Mid-East,mid east,20.1
2022,Midland,midland,22.7
2022,Mid-West,mid west,26.2
2022,South-East,south east,25.4
2022,South-West,south west,24.8
2022,West,west,26.8
2022,Ireland,ireland,23.1
2022,Border,border,27.3
2022,Dublin,dublin,19.7
2022,Mid-East,mid east,20.1
2022,Midland,midland,22.7
2022,Mid-West,mid west,26.2
2022,South-East,south east,25.4
2022,South-West,south west,24.8
2022,West,west,26.8
2022,Ireland,ireland,23.1
2022,Border,border,27.3
2022,Dublin,dublin,19.7
2022,Mid-East,mid east,20.1
2022,Midland,midland,22.7
2022,Mid-West,mid west,26.2
2022,South-East,south east,25.4
2022,South-West,south west,24.8
2022,West,west,26.8
2022,Ireland,ireland,23.1
2027,Border,border,28.8
2027,Dublin,dublin,21.0
2027,Mid-East,mid east,22.1
2027,Midland,midland,24.6
2027,Mid-West,mid west,28.0
2027,South-East,south east,27.5
2027,South-West,south west,26.5
2027,West,west,28.2
2027,Ireland,ireland,24.7
2027,Border,border,29.1
2027,Dublin,dublin,21.3
2027,Mid-East,mid east,22.3
2027,Midland,midland,24.8
2027,Mid-West,mid west,28.3
2027,South-East,south east,27.7
2027,South-West,south west,26.8
2027,West,west,28.4
2027,Ireland,ireland,25.0
2027,Border,border,29.4
2027,Dublin,dublin,21.5
2027,Mid-East,mid east,22.4
2027,Midland,midland,25.0
2027,Mid-West,mid west,28.5
2027,South-East,south east,27.9
2027,South-West,south west,27.0
2027,West,west,28.6
2027,Ireland,ireland,25.2
2032,Border,border,31.5
2032,Dublin,dublin,23.0
2032,Mid-East,mid east,25.1
2032,Midland,midland,27.6
2032,Mid-West,mid west,31.2
2032,South-East,south east,30.6
2032,South-West,south west,29.5
2032,West,west,30.8
2032,Ireland,ireland,27.4
2032,Border,border,32.1
2032,Dublin,dublin,23.6
2032,Mid-East,mid east,25.4
2032,Midland,midland,28.0
2032,Mid-West,mid west,31.7
2032,South-East,south east,31.1
2032,South-West,south west,30.0
2032,West,west,31.3
2032,Ireland,ireland,27.8
2032,Border,border,32.8
2032,Dublin,dublin,24.2
2032,Mid-East,mid east,25.7
2032,Midland,midland,28.5
2032,Mid-West,mid west,32.3
2032,South-East,south east,31.5
2032,South-West,south west,30.5
2032,West,west,31.9
2032,Ireland,ireland,28.4
2037,Border,border,34.6
2037,Dublin,dublin,25.8
2037,Mid-East,mid east,29.0
2037,Midland,midland,31.3
2037,Mid-West,mid west,34.8
2037,South-East,south east,34.1
2037,South-West,south west,32.8
2037,West,west,33.9
2037,Ireland,ireland,30.6
2037,Border,border,35.7
2037,Dublin,dublin,26.8
2037,Mid-East,mid east,29.5
2037,Midland,midland,32.1
2037,Mid-West,mid west,35.7
2037,South-East,south east,34.9
2037,South-West,south west,33.8
2037,West,west,34.8
2037,Ireland,ireland,31.5
2037,Border,border,37.3
2037,Dublin,dublin,28.2
2037,Mid-East,mid east,30.3
2037,Midland,midland,33.2
2037,Mid-West,mid west,37.0
2037,South-East,south east,35.9
2037,South-West,south west,35.0
2037,West,west,36.1
2037,Ireland,ireland,32.8
2042,Border,border,38.0
2042,Dublin,dublin,29.2
2042,Mid-East,mid east,33.4
2042,Midland,midland,35.4
2042,Mid-West,mid west,38.6
2042,South-East,south east,37.7
2042,South-West,south west,36.7
2042,West,west,37.4
2042,Ireland,ireland,34.4
2042,Border,border,39.7
2042,Dublin,dublin,30.9
2042,Mid-East,mid east,34.4
2042,Midland,midland,36.6
2042,Mid-West,mid west,40.1
2042,South-East,south east,39.0
2042,South-West,south west,38.2
2042,West,west,38.9
2042,Ireland,ireland,35.9
2042,Border,border,42.5
2042,Dublin,dublin,33.4
2042,Mid-East,mid east,35.7
2042,Midland,midland,38.6
2042,Mid-West,mid west,42.2
2042,South-East,south east,40.7
2042,South-West,south west,40.4
2042,West,west,40.9
2042,Ireland,ireland,38.0
